master_sku,mapped_skus
TB_SB_RAIL_EN,"TB_SB_RAIL_EN, TB_RRB_NTPC_EN"
TB_SB_RAIL_BN,"TB_SB_RAIL_BN, TB_RAIL_MAT_BN"
TB_SB_AEJE_CE_EN,"TB_SB_AEJE_CE_EN, TB_AEJE_CE_EN"
TB_RRB_NTPC_HI,"TB_RRB_NTPC_HI, TB_SB_RAIL_HI"
TB_SB_RAIL_HI,"TB_SB_RAIL_HI, TB_RRB_NTPC_HI"
TB_UGC_PONET_VTWO_EN,"TB_UGC_PONET_VTWO_EN,TBC_UGC_COM_EN,TBC_UGC_CSC_EN,TBC_UGC_ECO_EN,TBC_UGC_EDU_EN,TBC_UGC_ENG_EN,TBC_UGC_GEO_EN,TBC_UGC_HIS_EN,TBC_UGC_HSC_EN,TBC_UGC_LAW_EN,TBC_UGC_MGMT_EN,TBC_UGC_PE_EN,TBC_UGC_POL_EN,TBC_UGC_PONET_EN,TBC_UGC_SAN_HI,TBC_UGC_SOC_EN, TBC_UGC_LIB_EN, TBC_UGC_PUA_EN, TBC_UGC_HIN_HI, TBC_UGC_PSY_EN, TBC_UGC_EVS_EN"
TB_UGC_P1N_EN,"TB_UGC_P1N_EN, TB_UGC_PONE_EN"
TB_UGC_PONET_VONE_EN,"TB_UGC_PONET_VONE_EN,TBC_UGC_COM_EN,TBC_UGC_CSC_EN,TBC_UGC_ECO_EN,TBC_UGC_EDU_EN,TBC_UGC_ENG_EN,TBC_UGC_GEO_EN,TBC_UGC_HIS_EN,TBC_UGC_HSC_EN,TBC_UGC_LAW_EN,TBC_UGC_MGMT_EN,TBC_UGC_PE_EN,TBC_UGC_POL_EN,TBC_UGC_PONET_EN,TBC_UGC_SAN_HI,TBC_UGC_SOC_EN, TBC_UGC_LIB_EN, TBC_UGC_PUA_EN, TBC_UGC_PSY_EN, TBC_UGC_EVS_EN"
TB_UGC_P1_EN,"TB_UGC_P1_EN,TBC_UGC_COM_EN,TBC_UGC_CSC_EN,TBC_UGC_ECO_EN,TBC_UGC_EDU_EN,TBC_UGC_ENG_EN,TBC_UGC_GEO_EN,TBC_UGC_HIS_EN,TBC_UGC_HSC_EN,TBC_UGC_LAW_EN,TBC_UGC_MGMT_EN,TBC_UGC_PE_EN,TBC_UGC_POL_EN,TBC_UGC_SOC_EN, TBC_UGC_PSY_EN, TBC_UGC_EVS_EN"
TB_UGC_PONE_EN,"TB_UGC_PONE_EN,TBC_UGC_COM_EN,TBC_UGC_CSC_EN,TBC_UGC_ECO_EN,TBC_UGC_EDU_EN,TBC_UGC_ENG_EN,TBC_UGC_GEO_EN,TBC_UGC_HIS_EN,TBC_UGC_HSC_EN,TBC_UGC_LAW_EN,TBC_UGC_MGMT_EN,TBC_UGC_PE_EN,TBC_UGC_POL_EN,TBC_UGC_SOC_EN, TBC_UGC_LIB_EN, TBC_UGC_PUA_EN, TBC_UGC_PSY_EN, TBC_UGC_EVS_EN"
TB_SB_BANK_QA_EN,"TB_SB_BANK_QA_EN, TBC_SB_BANK_EN, TB_SB_BAN_QA_EN, TBC_SB_BAN_EN"
