Master SKU,SRPIN,Product Name,Available Inventory - Good,Quantity used in the last 30 days,Txn 2-3 Months,Status
TB_UGC_LIBM_EN,IPXQ-244825436,UGC NET/SET/JRF Paper 2 Library Science | 2000+ PYQs & MCQs | Updated Syllabus | Testbook,39,11,11,Active
TB_UGC_PSYB_EN,IPXQ-244825433,UGC NET Psychology Paper 2 | June 2025 Solved PYP Booklet (100 MCQs),28,11,14,Active
TB_UGC_CSCB_EN,IPXQ-244825430,UGC NET Computer Science Paper 2 | June 2025 Solved PYP Booklet (100 MCQs),15,23,29,Active
TB_UGC_MGTB_EN,IPXQ-244825427,UGC NET Management Paper 2 | June 2025 Solved PYP Booklet (100 MCQs),45,29,32,Active
TB_UGC_EVSB_EN,IPXQ-244825426,UGC NET Environmental Science (EVS) Paper 2 | June 2025 Solved PYP Booklet (100 MCQs),23,11,13,Active
TB_UGC_LAWB_EN,IPXQ-244825424,UGC NET Law Paper 2 | June 2025 Solved PYP Booklet (100 MCQs),77,31,36,Active
TB_UGC_HSCB_EN,IPXQ-244825423,UGC NET Home Science Paper 2 | June 2025 Solved PYP Booklet (100 MCQs),23,26,28,Active
TB_UGC_HINB_HI,IPXQ-244825420,UGC NET Hindi Paper 2 | June 2025 Solved PYP Booklet (100 MCQs),20,17,20,Active
TB_UGC_POLB_EN,IPXQ-244825418,UGC NET Political Science Paper 2 | June 2025 Solved PYP Booklet (100 MCQs),239,136,143,Active
TB_UGC_COMB_EN,IPXQ-244825410,UGC NET Commerce Paper 2 | June 2025 Solved PYP Booklet (100 MCQs),116,31,35,Active
TB_UGC_ECOB_EN,IPXQ-244825407,UGC NET Economics Paper 2 | June 2025 Solved PYP Booklet (100 MCQs),34,16,19,Active
TB_UGC_EDUB_EN,IPXQ-244825403,UGC NET Education Paper 2 | June 2025 Solved PYP Booklet (100 MCQs),40,37,41,Active
TB_UGC_ENGB_EN,IPXQ-244825402,UGC NET English Paper 2 | June 2025 Solved PYP Booklet (100 MCQs),74,51,52,Active
TB_UGC_GEOB_EN,IPXQ-244825397,UGC NET Geography Paper 2 | June 2025 Solved PYP Booklet (100 MCQs),13,22,22,Active
TB_UGC_HISB_EN,IPXQ-244825395,UGC NET History Paper 2 | June 2025 Solved PYP Booklet (100 MCQs),145,76,78,Active
TB_UGC_SOCB_EN,IPXQ-244825392,UGC NET Sociology Paper 2 | June 2025 Solved PYP Booklet (100 MCQs),29,21,23,Active
TB_SSC_GD_26_MR,IPXQ-242874955,"SSC GD Constable 2026 SmartBook (Marathi) | 5000+ PYQs & MCQs | CRPF, BSF, CISF, ITBP, SSB, SSF, AR | Testbook",254,8,8,Active
TB_GEN_CA_26_HI,IPXQ-242801327,"Pragyan Yearly Current Affairs 2026 (Hindi) | Jan–Dec 2025 | 365 Exam-Focused Questions | SSC, Banking, Railway & State Exams | Testbook",454,57,63,Active
TB_SSC_GD_26_BN,IPXQ-242774245,"SSC GD Constable 2026 SmartBook (Bengali) | 5000+ PYQs & MCQs | CRPF, BSF, CISF, ITBP, SSB, SSF, AR | Testbook",252,47,48,Active
TB_CA_JAN_26_EN,IPXQ-242019700,Pragyan Monthly Current Affairs – January 2026,142,124,137,Active
TB_UGC_P1N_EN,IPXQ-241749536,NTA UGC NET Paper 1  – Teaching & Research Aptitude (Compulsory) | 3000+ PYQs | New | Latest Edition,378,127,141,Active
TB_UGC_P1N_HI,IPXQ-241742228,NTA UGC NET Paper 1 – Teaching & Research Aptitude (अनिवार्य) | Hindi Medium | 3000+ PYQs | New |Latest Edition,141,65,71,Active
TB_GEN_CA_26_EN,IPXQ-239458030,"Pragyan Yearly Current Affairs 2026 in English| Jan–Dec 2025 | 365 Exam-Focused Questions | SSC, Banking, Railway & State Exams",1296,624,898,Active
TB_SSC_GD_26_HI,IPXQ-239302600,SSC GD Constable 2026 Smartbook in Hindi | 5000+ PYQs & MCQs | Topic-wise Practice | Latest Exam Pattern,427,80,94,Active
TB_SSC_GD_26_EN,IPXQ-238719924,SSC GD Constable 2026 Smartbook in English | 5000+ PYQs & MCQs | Topic-wise Practice| Latest Exam Pattern,580,337,480,Active
TB_PSSSB_ENG_EN,IPXQ-238554561,PSSSB Exams: English Language with 2500+ Questions,42,3,7,Active
TB_CTET_CDPT_EN,IPXQ-236613970,CTET Paper 1 & 2 Child Development and Pedagogy Theory with PYQs,28,20,35,Active
TB_GEN_OCA_26_EN,IPXQ-234525718,Pragyan Odisha Current Affairs 2026 | Odisha + National Current Affairs Yearly Compilation | Government Exams Preparation Book,554,806,2815,Active
TB_CA_DEC_25_EN,IPXQ-234151190,Pragyan Monthly Current Affairs  December 2025,26,71,261,Active
TB_KVS_T1_HI,IPXQ-232146743,One Stop Solution for ALL KVS / NVS Tier-1 Exams (In Hindi),266,1,383,Active
TB_KVS_T1_EN,IPXQ-232106594,One Stop Solution for ALL KVS  NVS Tier-1 Exams In English,221,17,1679,Active
TBN_UP_GK_EN,IPXQ-230992951,Uttar Pradesh Exam General Knowledge - 3000+ Ques New in English,132,26,91,Active
TB_SB_RAIL_MR,IPXQ-230991988,"Railway All Exams Smartbook 5000+ Chapterwise TCS PYQs and MCQs| All-in-One| General Awareness, General Science, Mathematics, Reasoning in Marathi",218,128,313,Active
TB_MH_TAL_MR,IPXQ-229844382,Talathi Bharti 2026 (Gram Mahsul Adhikari) परीक्षा महासंग्रह | 4000+ PYQs & MCQs | Based on Latest Exam Pattern,461,1135,3083,Active
TB_CA_NOV_25_EN,IPXQ-229434432,Pragyan Monthly Current Affairs – November 2025,34,34,174,Active
TBN_UP_GK_HI,IPXQ-228571651,UP GK Hindi,88,14,137,Active
TB_SB_RAIL_BN,IPXQ-228196896,"Railway All Exams Smartbook 5000+ Chapterwise TCS PYQs and MCQs| All-in-One| General Awareness, General Science, Mathematics, Reasoning in Bengali",347,513,995,Active
TB_RRB_PYP_ECE_HI,IPXQ-225798536,RRB JE Electronics Engineering Booklet in Hindi with Updated PYQs,95,15,53,Active
TB_RRB_PYP_ME_HI,IPXQ-225798534,RRB JE Mechanical Engineering Booklet in Hindi with Updated PYQs,79,18,55,Active
TB_RRB_PYP_EE_HI,IPXQ-225798533,RRB JE Electrical Engineering Booklet in Hindi with Updated PYQs,102,18,65,Active
TB_RRB_PYP_CE_HI,IPXQ-225798532,RRB JE Civil Engineering Booklet in Hindi with Updated PYQs,88,33,74,Active
TB_RRB_PYP_ECE_EN,IPXQ-225798531,RRB JE Electronics Engineering Booklet in English with Updated PYQs,130,53,154,Active
TB_RRB_PYP_ME_EN,IPXQ-225798528,RRB JE Mechanical Engineering Booklet in English with Updated PYQs,249,83,196,Active
TB_RRB_PYP_EE_EN,IPXQ-225798526,RRB JE Electrical Engineering Booklet in English with Updated PYQs,321,53,176,Active
TB_RRB_PYP_CE_EN,IPXQ-225798523,RRB JE Civil Engineering Booklet in English with Updated PYQs,412,58,213,Active
TB_CA_OCT_25_EN,IPXQ-225231631,Pragyan Monthly Current Affairs  October 2025,2,2,19,Active
TB_PFB_EN,IPXQ-221914564,Physics Formula Book,602,23,80,Active
TB_MFB_EN,IPXQ-221914562,Mathematics Formula Book,521,66,137,Active
TB_CA_SEP_25_EN,IPXQ-221231093,Pragyan Monthly Current Affairs � September 2025,59,6,15,Active
TB_BP_MB_BN,IPXQ-220650944,Bengal Police Ultimate Mockbook,2258,44,109,Active
TB_UGC_POLM_EN,IPXQ-219499442,UGC NET/SET/JRF Paper 2 Political Science | 2000+ PYQs & MCQs | Updated Syllabus | Testbook,244,164,213,Active
TB_UGC_PSYM_EN,IPXQ-219367006,UGC NET/SET/JRF Paper 2 Psychology | 2500+ PYQs & MCQs | Updated Syllabus | Testbook,41,25,37,Active
TB_UGC_CSCM_EN,IPXQ-219367004,UGC NET/SET/JRF Paper 2 Computer Science | 2000+ PYQs & MCQs | Updated Syllabus | Testbook,40,58,100,Active
TB_UGC_MGTM_EN,IPXQ-219367003,UGC NET/SET/JRF Paper 2 Management | 2000+ PYQs & MCQs | Updated Syllabus | Testbook,91,86,142,Active
TB_UGC_EVSM_EN,IPXQ-219367001,UGC NET/SET/JRF Paper 2 Environmental Science | 2000+ PYQs & MCQs | Updated Syllabus | Testbook,29,28,49,Active
